"POST_NUMBER","RIVER","POST_STATION_NAME","LON","LAT","SIZE","YEAR_BUILT","BUILT_BY","PROVINCE","DISTRICT","SUBDISTRICT","VILLAGE","SUBVILLAGE","YEAR_RANGE","DATA_COUNT"
"02-011-01-04","K. ANGKE","ANGKE-RAWABUAYA","106.755","-6.211666667","260.6","1988","PROBANJIR JAYA","DKI","DKI JAKARTA","CENGKARENG","GROGOL","GROGOL","1988 - 2016","23"
"02-011-02-01","K. ANGKE","PASANGGRAHAN-SAWANGAN","106.8","-6.316666667","56.3","1990","PROBANJIR JAYA","DKI"," DEPOK","SAWANGAN","SAWANGAN","SAWANGAN","1991 - 2013","17"
"02-011-02-02","K. ANGKE","PASANGGRAHAN-KEBON_JERUK","106.8077778","-6.180555556","123","1992","PROBANJIR JAYA","DKI","DKI JAKARTA","KEBAYORAN LAMA","KEBON JERUK","KEBON JERUK","1989 - 2016","23"
"02-012-01-02","CILIWUNG","CILIWUNG-KATULAMPA","106.7938889","-6.601944444","158","1968","PROBANJIR JAYA","JAWA BARAT","BOGOR","KATULAMPA","KATULAMPA","KATULAMPA","1990 - 2016","25"
"02-012-01-01","K. KRUKUT","KRUKUT-BENDUNGAN_HILIR","106.8283333","-6.213611111","63.8","1980","PROBANJIR JAYA","DKI","DKI JAKARTA","SETIABUDI","SETIABUDI","SETIABUDI","1991 - 2016","21"
"02-013-01-01","K. SUNTER","SUNTER-CIPINANG_MUARA","106.9125","-6.2125","137.7","1980","PROBANJIR JAYA","DKI","DKI JAKARTA","JATINEGARA","CIPINANG MUARA","CIPINANG MUARA","1992 - 2010","15"
"02-008-00-01","CIMANCEURI","CIMANCEURI-KUTRUK","106.4777778","-6.215555556","449","1992","PROBANJIR JAYA","JAWA BARAT","TANGERANG","CIKUPA","CIBADAK","CIBADAK","1996 - 2005","8"
"02-011-01-01","K. ANGKE","GROGOL-PALMERAH","106.7841667","-6.132777778","10.6","1991","PROYEK BANJIR JAYA","DKI","DKI JAKARTA","PAL MERAH","PAL MERAH","PAL MERAH","1991 - 2010","17"
"02-011-01-02","K. ANGKE","ANGKE-CANTIGA ","106.5819444","-6.149722222","244","1991","PROYEK BANJIR JAYA","DKI","DKI JAKARTA","CANTIGA","CANTIGA","CANTIGA","1991 - 1993","3"
"02-011-01-01","K. ANGKE","ANGKE-JEMBATAN_GENIT","106.7469444","-6.142777778","462","1980","PROYEK BANJIR JAYA","DKI","DKI JAKARTA","JEMBATAN GENIT","JEMBATAN GENIT","JEMBATAN GENIT","1992 - 1993","2"
"02-012-01-03","CILIWUNG","CIESEK-PALUMBON_PASEBAN ","106.9138889","-6.628611111","3.7","1983","PUSLITBANG PENGAIRAN","JAWA BARAT","BOGOR","CIPAYUNG","CILEMBER","PALUMBON","1985 - 1993","9"
"02-012-01-04","CILIWUNG","CILIWUNG-RATUJAYA","106.8369444","-6.330555556","231","1977","P3SA CJC/PROBANJIR JAYA","JAWA BARAT","BOGOR","RATUJAYA","RATUJAYA","RATUJAYA","1977 - 2007","20"
"02-012-01-05","CILIWUNG","CILIWUNG-KAMPUNG_KELAPA","106.8166667","-6.458333333","158","1985","PROYEK BANJIR JAYA","JAWA BARAT","BOGOR","BOJONG GEDE","RAWA PANJANG","RAWA PANJANG","1986 - 2016","23"
"02-012-01-06","CILIWUNG","CILIWUNG-SUGUTAMU","106.7333333","-6.433333333","266.6","1985","PROYEK BANJIR JAYA","JAWA BARAT","BOGOR","SUKMAJAYA","BATIJAYA","SUGUTAMU","1986 - 2011","18"
"02-012-01-08","CILIWUNG","CILIWUNG-RAWAJATI","106.8836111","-6.066388889","315","1991","PROYEK BANJIR JAYA","DKI","DKI JAKARTA","RAWAJATI","RAWAJATI","RAWAJATI","1991 - 1993","3"
"02-012-01-02","CILIWUNG","CILIWUNG-KEBON_BARU ","106.7983333","-6.257222222","324.7","1980","PROYEK BANJIR JAYA","JAWA BARAT","BOGOR","KEBONWARU","KEBONWARU","KEBONWARU","1992 - 2012","2"
"02-013-01-02","K. SUNTER","CIPINANG-CIPINANG_JAYA ","106.9397222","-6.246388889","71.3","1992","PROYEK BANJIR JAYA","DKI","DKI JAKARTA","CIPINANG","CIPINANG","CIPINANG","1985 - 1993","5"
"02-013-01-03","K. SEKRETARIS","SEKRETARIS-KEBON_JERUK","106.7672222","-6.116111111","5","1991","P3SA","DKI","DKI JAKARTA","KEBON JERUK","KEBON JERUK","KEBON JERUK","1991 - 1993","3"
"02-010-03-01","CISADANE","CISADANE-BATUBELAH","106.6777778","-6.513888889","819.6","1969","","JAWA BARAT","BOGOR","","","","1970 - 2016","45"
"02-013-01-01","K. SUNTER","SUNTER-PONDOK_GEDE","106.7963889","-6.213888889","137.7","1992","PROYEK BANJIR JAYA","DKI","DKI JAKARTA","JATINEGARA","CIPINANG MUARA","CIPINANG MUARA","2011 - 2016","5"
"02-012-02-01","CILIWUNG","KRUKUT-MARGASATWA","106.8080556","-6.311111111","35","1999","PROYEK BANJIR JAYA","DKI","DKI JAKARTA","MARGASATWA","MARGASATWA","MARGASATWA","2012 - 2016","3"
"02-012-01-09","CILIWUNG","CILIWUNG-MT_HARYONO","106.9288889","-6.231388889","","","","DKI","DKI JAKARTA","","","","2010 - 2016","4"
"02-011-02-01","BUARAN","BUARAN-PONDOK_KELAPA","106.9205556","-14.83305556","56","1990","PRO BANJIR JAYA","JAWA BARAT","DKI JAKARTA","-","-","-","2015 - 2016","2"
"02-011-02-01","CAKUNG","CAKUNG-DUTA_KRANJI","106.9680556","-6.230833333","41.5","1990","PRO BANJIR JAYA","JAWA BARAT","DEPOK","SAWANGAN","SAWANGAN","SAWANGAN","2015 - 2016","2"
"02-011-02-01","CILIWUNG","CILIWUNG-KARET_BIVAK","106.8138889","-6.200833333","365.679","1991","PRO BANJIR JAYA","JAWA BARAT","DKI JAKARTA","-","-","-","2015 - 2016","2"
"02-011-02-01","JATIKRAMAT","JATIKRAMAT-JATIBENING","106.9363889","-6.258888889","9.67","1990","PRO BANJIR JAYA","JAWA BARAT","BEKASI","-","-","-","2015 - 2016","2"
"02-000-00-00","CIKEAS","CIKEAS-NAGRAK","","","100","1992","PRO BANJIR JAYA","JAWA BARAT","DKI JAKARTA","-","-","-","2015 - 2016","2"
"-","CILEUNGSI","CILEUNGSI-CILEUNGSI","-","","-","-","","DKI","DKI","","","","2015 - 2016","2"
"-","K.ANGKE","K.ANGKE-PAMULANG","-","","-","-","","DKI","DKI","","","","2015 - 2016","2"
"-","CILIWUNG","CILIWUNG-CIBOGO","-","","-","-","","JAWA BARAT","BOGOR","","","","2016","1"
"-","CILIWUNG","CILIWUNG-CILUAR ","-","","-","-","","JAWA BARAT","BOGOR","","","","2016","1"
"-","CILIWUNG","CILIWUNG-DEPOK","-","","-","-","","JAWA BARAT","DEPOK","","","","2016","1"
"-","CILIWUNG","CILIWUNG-MANGGARAI","-","","-","-","","JAWA BARAT","BOGOR","","","","2016","1"
"-","CILIWUNG","CILIWUNG-PONDOK PINANG","-","","-","-","","JAWA BARAT","BOGOR","","","","2016","1"
"-","CIPINANG HULU","CIPINANG HULU-KIWI","-","","-","-","","DKI","DKI","","","","2016","1"
"-","CIPINANG","CIPINANG-HALIM","-","","-","-","","DKI","DKI","","","","2016","1"
"-","K.BEKASI","K.BEKASI-PERUM PML","-","","-","-","","DKI","BEKASI","","","","2016","1"
"-","K.PASANGGRAHAN","K.PASANGGRAHAN-GINTUNG","-","","-","-","","DKI","DEPOK","","","","2016","1"
"-","K.SUNTER","K.SUNTER-JATIWARNA","-","","-","-","","DKI","DKI","","","","2016","1"